basket,dir,start,end,duration_s,n_entries,total_lots,max_simul_lots,wavg_entry,wavg_exit,first_entry,last_entry,entry_span,gross_profit,swap,comm,net,profit_per_001lot,exit_dist_from_wae,n_close_events,all_closed_together,med_gap_s,max_gap_s,med_price_step,n_partial,outcome
L024,long,2026-06-30 10:03:24,2026-06-30 10:03:44,20.0,2,0.04,0.04,4027.105,4025.9500000000003,4027.2,4027.01,0.18999999999959982,-4.62,0.0,0.0,-4.62,-1.155,-1.1549999999997453,2,True,2.0,2.0,0.18999999999959982,0,loss
S016,short,2026-06-30 10:03:26,2026-06-30 10:12:58,572.0,16,2.5,2.2600000000000007,4026.50556,4024.57604,4026.58,4027.01,1.4800000000000182,482.38,0.0,0.0,482.38,1.92952,1.9295200000001387,6,False,0.0,73.0,0.04999999999972715,0,profit
L025,long,2026-06-30 10:04:59,2026-06-30 10:05:07,8.0,2,0.04,0.04,4027.5199999999995,4025.84,4027.6,4027.44,0.15999999999985448,-6.720000000000001,0.0,0.0,-6.720000000000001,-1.6800000000000002,-1.6799999999993815,2,True,0.0,0.0,0.15999999999985448,0,loss
L026,long,2026-06-30 10:07:17,2026-06-30 10:12:54,337.0,1,0.02,0.02,4029.73,4023.6899999999996,4029.73,4029.73,0.0,-12.08,0.0,0.0,-12.08,-6.04,-6.040000000000418,1,True,,,,0,loss
S017,short,2026-06-30 10:21:35,2026-06-30 10:22:45,70.0,15,2.26,2.2600000000000002,4029.31221238938,4027.6748230088506,4029.1,4029.42,0.49000000000023647,370.05000000000007,0.0,0.0,370.05000000000007,1.637389380530974,1.6373893805293847,5,False,0.0,6.0,0.010000000000218279,0,profit
S018,short,2026-06-30 10:40:34,2026-06-30 10:50:36,602.0,15,2.26,2.2600000000000002,4029.3911061946906,4026.1761061946904,4029.33,4029.31,0.13000000000010914,726.59,0.0,0.0,726.59,3.2150000000000007,3.2150000000001455,5,False,0.5,7.0,0.009999999999990905,0,profit
S019,short,2026-07-01 14:26:59,2026-07-01 15:02:07,2108.0,15,14.2,14.200000000000001,4030.4089084507045,4030.1494295774655,4022.74,4034.87,12.13000000000011,368.4599999999998,0.0,0.0,368.4599999999998,0.25947887323943647,0.2594788732390043,7,False,10.0,839.0,0.6900000000000546,0,profit
S020,short,2026-07-02 09:01:03,2026-07-02 09:05:35,272.0,2,0.04,0.04,4072.435,4068.745,4070.43,4074.44,4.010000000000218,14.76,0.0,0.0,14.76,3.69,3.6900000000000546,1,True,94.0,94.0,4.010000000000218,0,profit
L027,long,2026-07-02 09:15:19,2026-07-02 09:17:00,101.0,1,0.02,0.02,4068.45,4071.2399999999993,4068.45,4068.45,0.0,5.58,0.0,0.0,5.58,2.79,2.789999999999509,1,True,,,,0,profit
S021,short,2026-07-02 09:21:20,2026-07-02 09:30:03,523.0,2,0.04,0.04,4076.8399999999997,4074.955,4075.12,4078.56,3.4400000000000546,7.54,0.0,0.0,7.54,1.885,1.8849999999997635,1,True,97.0,97.0,3.4400000000000546,0,profit
L028,long,2026-07-02 09:30:03,2026-07-02 09:50:06,1203.0,3,0.07,0.07,4071.208571428571,4073.8999999999996,4074.95,4067.16,7.789999999999964,18.84,0.0,0.0,18.84,2.6914285714285713,2.691428571428787,2,True,400.0,585.0,3.894999999999982,0,profit
S022,short,2026-07-02 09:50:10,2026-07-02 10:00:17,607.0,2,0.04,0.04,4074.265,4071.385,4073.35,4075.18,1.8299999999999272,11.52,0.0,0.0,11.52,2.88,2.8799999999996544,1,True,449.0,449.0,1.8299999999999272,0,profit
L029,long,2026-07-02 10:04:06,2026-07-02 10:08:13,247.0,1,0.02,0.02,4068.9700000000003,4071.84,4068.97,4068.97,0.0,5.74,0.0,0.0,5.74,2.87,2.869999999999891,1,True,,,,0,profit
S023,short,2026-07-02 10:10:46,2026-07-02 10:12:46,120.0,1,0.02,0.02,4072.67,4069.51,4072.67,4072.67,0.0,6.32,0.0,0.0,6.32,3.16,3.1599999999998545,1,True,,,,0,profit
L030,long,2026-07-02 10:13:22,2026-07-02 10:38:48,1526.0,4,0.11000000000000001,0.11000000000000001,4065.7554545454545,4067.62,4069.12,4063.01,6.109999999999673,20.51,0.0,0.0,20.51,1.8645454545454543,1.8645454545453504,1,True,219.0,233.0,1.8299999999999272,0,profit
S024,short,2026-07-02 10:40:31,2026-07-02 10:48:02,451.0,2,0.04,0.04,4072.3199999999997,4067.9649999999992,4070.39,4074.25,3.8600000000001273,17.42,0.0,0.0,17.42,4.355,4.355000000000473,2,True,138.0,138.0,3.8600000000001273,0,profit
L031,long,2026-07-02 10:48:26,2026-07-02 11:05:26,1020.0,4,0.11000000000000001,0.11000000000000001,4065.3490909090906,4068.3563636363638,4069.01,4063.28,5.730000000000018,33.08,0.0,0.0,33.08,3.0072727272727264,3.0072727272731754,2,True,293.0,392.0,1.949999999999818,0,profit
S025,short,2026-07-02 11:06:15,2026-07-02 12:06:47,3632.0,4,0.11000000000000001,0.11000000000000001,4074.7763636363625,4072.7318181818177,4068.0,4077.97,9.9699999999998,22.49,0.0,0.0,22.49,2.044545454545454,2.044545454544732,1,True,743.0,1577.0,3.8200000000001637,0,profit
L032,long,2026-07-02 11:14:49,2026-07-02 11:19:59,310.0,1,0.02,0.02,4070.36,4073.12,4070.36,4070.36,0.0,5.52,0.0,0.0,5.52,2.76,2.7599999999997635,1,True,,,,0,profit
L033,long,2026-07-02 11:33:07,2026-07-02 11:41:24,497.0,1,0.02,0.02,4074.5200000000004,4075.9499999999994,4074.52,4074.52,0.0,2.86,0.0,0.0,2.86,1.43,1.4299999999989268,1,True,,,,0,profit
L034,long,2026-07-02 11:52:17,2026-07-02 11:53:58,101.0,1,0.02,0.02,4075.2299999999996,4077.7100000000005,4075.23,4075.23,0.0,4.96,0.0,0.0,4.96,2.48,2.4800000000009277,1,True,,,,0,profit
L035,long,2026-07-02 12:06:06,2026-07-02 12:42:49,2203.0,5,0.16000000000000003,0.16000000000000003,4069.3812499999985,4071.919999999999,4075.08,4066.0,9.079999999999927,40.620000000000005,0.0,0.0,40.620000000000005,2.53875,2.5387500000006185,1,True,424.0,599.0,2.349999999999909,0,profit
S026,short,2026-07-02 12:43:35,2026-07-02 12:54:08,633.0,1,0.02,0.02,4069.55,4067.31,4069.55,4069.55,0.0,4.48,0.0,0.0,4.48,2.24,2.2400000000002365,1,True,,,,0,profit
L036,long,2026-07-02 12:56:01,2026-07-02 13:42:05,2764.0,2,0.04,0.04,4065.4700000000003,4068.520000000001,4066.1,4064.84,1.2599999999997635,12.2,0.0,0.0,12.2,3.05,3.0500000000006366,1,True,492.0,492.0,1.2599999999997635,0,profit
S027,short,2026-07-02 13:22:46,2026-07-02 13:33:01,615.0,1,0.02,0.02,4066.51,4064.2400000000002,4066.51,4066.51,0.0,4.54,0.0,0.0,4.54,2.27,2.269999999999982,1,True,,,,0,profit
S028,short,2026-07-02 13:59:22,2026-07-02 14:00:41,79.0,1,0.02,0.02,4066.87,4063.4900000000002,4066.87,4066.87,0.0,6.76,0.0,0.0,6.76,3.38,3.3799999999996544,1,True,,,,0,profit
L037,long,2026-07-02 14:04:29,2026-07-02 14:12:35,486.0,2,0.04,0.04,4060.275,4062.54,4061.41,4059.14,2.269999999999982,9.059999999999999,0.0,0.0,9.059999999999999,2.2649999999999997,2.2649999999998727,1,True,116.0,116.0,2.269999999999982,0,profit
S029,short,2026-07-02 14:12:45,2026-07-02 14:58:11,2726.0,5,0.16000000000000003,0.16000000000000003,4067.301249999999,4068.1556249999994,4061.69,4070.83,9.139999999999873,-13.67,0.0,0.0,-13.67,-0.8543749999999998,-0.8543750000003456,3,False,218.0,1415.0,2.089999999999918,0,loss
L038,long,2026-07-02 16:08:07,2026-07-02 16:10:28,141.0,2,0.04,0.04,4118.615,4120.53,4119.73,4117.5,2.2299999999995634,7.66,0.0,0.0,7.66,1.915,1.9149999999999636,2,True,62.0,62.0,2.2299999999995634,0,profit
S030,short,2026-07-02 16:10:29,2026-07-02 16:17:30,421.0,3,0.07,0.07,4122.2242857142855,4120.444285714285,4120.26,4124.25,3.9899999999997817,12.459999999999999,0.0,0.0,12.459999999999999,1.7799999999999996,1.7800000000006548,1,True,44.0,49.0,1.9949999999998909,0,profit
L039,long,2026-07-02 16:16:12,2026-07-02 16:23:26,434.0,3,0.07,0.07,4117.111428571428,4119.162857142857,4121.25,4115.08,6.170000000000073,14.36,0.0,0.0,14.36,2.051428571428571,2.0514285714289144,1,True,182.5,224.0,3.0850000000000364,0,profit
L040,long,2026-07-02 16:24:57,2026-07-02 16:27:06,129.0,3,0.07,0.07,4112.417142857142,4114.3328571428565,4114.24,4110.94,3.300000000000182,13.41,0.0,0.0,13.41,1.9157142857142855,1.9157142857147846,2,True,28.5,43.0,1.650000000000091,0,profit
L041,long,2026-07-02 16:30:06,2026-07-02 16:30:46,40.0,2,0.04,0.04,4112.86,4115.665,4113.73,4111.99,1.7399999999997817,11.219999999999999,0.0,0.0,11.219999999999999,2.8049999999999997,2.805000000000291,1,True,18.0,18.0,1.7399999999997817,0,profit
S031,short,2026-07-02 16:30:57,2026-07-02 16:41:58,661.0,8,0.41000000000000003,0.41000000000000003,4129.733902439024,4129.206341463414,4116.81,4136.25,19.4399999999996,21.629999999999995,0.0,0.0,21.629999999999995,0.527560975609756,0.5275609756099584,3,False,25.0,88.0,2.7799999999997453,0,profit
L042,long,2026-07-02 16:38:20,2026-07-02 16:39:32,72.0,1,0.02,0.02,4129.64,4134.8,4129.64,4129.64,0.0,10.32,0.0,0.0,10.32,5.16,5.1599999999998545,1,True,,,,0,profit
S032,short,2026-07-02 16:47:14,2026-07-02 16:48:07,53.0,1,0.02,0.02,4138.56,4137.41,4138.56,4138.56,0.0,2.3,0.0,0.0,2.3,1.15,1.1500000000005457,1,True,,,,0,profit
S033,short,2026-07-02 16:48:35,2026-07-02 16:48:42,7.0,1,0.02,0.02,4139.36,4139.39,4139.36,4139.36,0.0,-0.06,0.0,0.0,-0.06,-0.03,-0.030000000000654836,1,True,,,,0,loss
L043,long,2026-07-02 16:54:49,2026-07-02 16:55:46,57.0,1,0.02,0.02,4134.57,4136.39,4134.57,4134.57,0.0,3.64,0.0,0.0,3.64,1.82,1.8200000000006185,1,True,,,,0,profit
L044,long,2026-07-02 16:56:03,2026-07-02 16:56:16,13.0,1,0.02,0.02,4137.89,4138.18,4137.89,4137.89,0.0,0.58,0.0,0.0,0.58,0.29,0.2899999999999636,1,True,,,,0,profit
L045,long,2026-07-02 16:56:26,2026-07-02 16:56:27,1.0,1,0.02,0.02,4138.61,4138.14,4138.61,4138.61,0.0,-0.94,0.0,0.0,-0.94,-0.47,-0.46999999999934516,1,True,,,,0,loss
L046,long,2026-07-02 16:59:28,2026-07-02 17:08:33,545.0,4,0.11000000000000001,0.11000000000000001,4132.387272727272,4134.273636363636,4137.35,4129.39,7.960000000000036,20.75,0.0,0.0,20.75,1.886363636363636,1.886363636363967,1,True,72.0,168.0,2.5499999999992724,0,profit
S034,short,2026-07-02 17:06:56,2026-07-02 17:07:49,53.0,1,0.02,0.02,4130.43,4129.38,4130.43,4130.43,0.0,2.1,0.0,0.0,2.1,1.05,1.050000000000182,1,True,,,,0,profit
L047,long,2026-07-02 17:10:48,2026-07-02 17:12:44,116.0,1,0.02,0.02,4125.95,4129.16,4125.95,4125.95,0.0,6.42,0.0,0.0,6.42,3.21,3.2100000000000364,1,True,,,,0,profit
S035,short,2026-07-02 17:13:04,2026-07-02 17:17:22,258.0,3,0.07,0.07,4133.322857142857,4130.0599999999995,4129.49,4135.22,5.730000000000473,22.84,0.0,0.0,22.84,3.2628571428571425,3.2628571428576834,1,True,121.5,210.0,2.8650000000002365,0,profit
L048,long,2026-07-02 17:19:23,2026-07-02 17:31:24,721.0,6,0.22000000000000003,0.22000000000000003,4119.85909090909,4121.563181818181,4128.34,4115.52,12.819999999999709,37.49,0.0,0.0,37.49,1.7040909090909089,1.7040909090910645,1,True,80.0,317.0,2.180000000000291,0,profit
S036,short,2026-07-02 17:30:29,2026-07-02 17:34:50,261.0,3,0.07,0.07,4121.965714285714,4119.749999999999,4118.14,4124.2,6.059999999999491,15.51,0.0,0.0,15.51,2.2157142857142853,2.2157142857149665,1,True,43.5,74.0,3.0299999999997453,0,profit
L049,long,2026-07-02 17:48:41,2026-07-02 17:49:11,30.0,1,0.02,0.02,4117.74,4119.19,4117.74,4117.74,0.0,2.9,0.0,0.0,2.9,1.45,1.449999999999818,1,True,,,,0,profit
S037,short,2026-07-02 17:51:55,2026-07-02 17:52:39,44.0,1,0.02,0.02,4125.13,4121.88,4125.13,4125.13,0.0,6.5,0.0,0.0,6.5,3.25,3.25,1,True,,,,0,profit
S038,short,2026-07-02 17:56:27,2026-07-02 18:05:38,551.0,3,0.07,0.07,4128.3328571428565,4125.565714285714,4126.84,4129.55,2.7100000000000364,19.37,0.0,0.0,19.37,2.767142857142857,2.767142857142062,1,True,158.5,192.0,1.3550000000000182,0,profit
L050,long,2026-07-02 18:05:04,2026-07-02 18:11:10,366.0,3,0.07,0.07,4121.409999999999,4124.717142857142,4127.88,4116.15,11.730000000000473,23.15,0.0,0.0,23.15,3.3071428571428565,3.307142857142935,1,True,78.5,93.0,5.8650000000002365,0,profit
S039,short,2026-07-02 18:10:08,2026-07-02 18:17:44,456.0,3,0.07,0.07,4124.807142857142,4121.607142857142,4120.8,4128.89,8.090000000000146,22.4,0.0,0.0,22.4,3.1999999999999993,3.199999999999818,1,True,70.0,106.0,4.045000000000073,0,profit
