basket,dir,level,dprice,adverse,dt_s,lot_prev,lot_new
L092,long,10,-3.519999999999982,3.519999999999982,13.0,0.18,0.23
L092,long,11,-3.8299999999999272,3.8299999999999272,13.0,0.23,0.3
L093,long,1,-1.650000000000091,1.650000000000091,115.0,0.02,0.02
L093,long,2,-0.23999999999978172,0.23999999999978172,46.0,0.02,0.03
L093,long,3,-4.130000000000109,4.130000000000109,85.0,0.03,0.04
L093,long,4,-2.3899999999998727,2.3899999999998727,40.0,0.04,0.05
L094,long,1,-8.190000000000055,8.190000000000055,63.0,0.02,0.02
L094,long,2,-0.49000000000023647,0.49000000000023647,156.0,0.02,0.03
L094,long,3,-3.7399999999997817,3.7399999999997817,76.0,0.03,0.04
L094,long,4,-1.7100000000000364,1.7100000000000364,37.0,0.04,0.05
L094,long,5,-4.380000000000109,4.380000000000109,137.0,0.05,0.06
L094,long,6,-3.849999999999909,3.849999999999909,77.0,0.06,0.08
L094,long,7,-2.4899999999997817,2.4899999999997817,74.0,0.08,0.11
L095,long,1,0.08999999999969077,-0.08999999999969077,10.0,0.02,0.02
L096,long,1,-4.760000000000218,4.760000000000218,117.0,0.02,0.02
L096,long,2,0.930000000000291,-0.930000000000291,101.0,0.02,0.03
L096,long,3,-1.7600000000002183,1.7600000000002183,557.0,0.03,0.04
L100,long,1,-6.059999999999945,6.059999999999945,257.0,0.02,0.02
L104,long,1,-3.699999999999818,3.699999999999818,648.0,0.02,0.02
L106,long,1,-1.6900000000000546,1.6900000000000546,252.0,0.02,0.02
L106,long,2,-3.3299999999999272,3.3299999999999272,70.0,0.02,0.03
L107,long,1,-1.5199999999999818,1.5199999999999818,8.0,0.02,0.02
L107,long,2,-1.8800000000001091,1.8800000000001091,12.0,0.02,0.03
L107,long,3,-3.3400000000001455,3.3400000000001455,161.0,0.03,0.04
L108,long,1,-1.9100000000003092,1.9100000000003092,365.0,0.02,0.02
L108,long,2,-2.1299999999996544,2.1299999999996544,601.0,0.02,0.03
L109,long,1,0.13999999999987267,-0.13999999999987267,8.0,0.02,0.02
L111,long,1,-5.4099999999998545,5.4099999999998545,630.0,0.02,0.02
L111,long,2,-2.5100000000002183,2.5100000000002183,399.0,0.02,0.03
L111,long,3,-2.5299999999997453,2.5299999999997453,262.0,0.03,0.04
L111,long,4,-1.9800000000000182,1.9800000000000182,216.0,0.04,0.05
L111,long,5,-2.7800000000002,2.7800000000002,56.0,0.05,0.06
L111,long,6,-3.2799999999997453,3.2799999999997453,19.0,0.06,0.08
L114,long,1,-6.120000000000346,6.120000000000346,124.0,0.02,0.02
L114,long,2,-0.6199999999998909,0.6199999999998909,204.0,0.02,0.03
L114,long,3,-2.1599999999998545,2.1599999999998545,31.0,0.03,0.04
L114,long,4,-3.4299999999998363,3.4299999999998363,46.0,0.04,0.05
L114,long,5,-2.7100000000000364,2.7100000000000364,118.0,0.05,0.06
L114,long,6,0.06999999999970896,-0.06999999999970896,6.0,0.06,0.08
L114,long,7,-2.8299999999999272,2.8299999999999272,241.0,0.08,0.11
L114,long,8,-0.9800000000000182,0.9800000000000182,36.0,0.11,0.14
L114,long,9,-4.059999999999945,4.059999999999945,48.0,0.14,0.18
L114,long,10,-0.23999999999978172,0.23999999999978172,136.0,0.18,0.23
L115,long,1,-2.1200000000003456,2.1200000000003456,180.0,0.02,0.02
L115,long,2,-1.4299999999998363,1.4299999999998363,104.0,0.02,0.03
L116,long,1,-2.5300000000002,2.5300000000002,296.0,0.02,0.02
L116,long,2,-3.1399999999998727,3.1399999999998727,128.0,0.02,0.03
L116,long,3,-1.349999999999909,1.349999999999909,27.0,0.03,0.04
L116,long,4,-2.3099999999999454,2.3099999999999454,15.0,0.04,0.05
L116,long,5,-0.930000000000291,0.930000000000291,58.0,0.05,0.06
L117,long,1,-1.2200000000002547,1.2200000000002547,114.0,0.02,0.02
L127,long,1,-1.400000000000091,1.400000000000091,258.0,0.02,0.02
L128,long,1,-1.1099999999996726,1.1099999999996726,154.0,0.02,0.02
L130,long,1,-2.2400000000002365,2.2400000000002365,57.0,0.02,0.02
L131,long,1,-2.9099999999998545,2.9099999999998545,40.0,0.02,0.02
L131,long,2,-2.769999999999982,2.769999999999982,88.0,0.02,0.03
L131,long,3,-1.2300000000000182,1.2300000000000182,237.0,0.03,0.04
L139,long,1,-1.180000000000291,1.180000000000291,63.0,0.02,0.02
L139,long,2,-1.4200000000000728,1.4200000000000728,62.0,0.02,0.03
L149,long,1,-1.6099999999996726,1.6099999999996726,391.0,0.02,0.02
L150,long,1,-2.8099999999994907,2.8099999999994907,980.0,0.02,0.02
L150,long,2,-5.650000000000091,5.650000000000091,194.0,0.02,0.03
L152,long,1,-3.130000000000109,3.130000000000109,91.0,0.02,0.02
L152,long,2,-0.1999999999998181,0.1999999999998181,31.0,0.02,0.03
L153,long,1,-2.2899999999999636,2.2899999999999636,672.0,0.02,0.02
L153,long,2,-1.8299999999999272,1.8299999999999272,210.0,0.02,0.03
L160,long,1,-5.009999999999309,5.009999999999309,286.0,0.02,0.02
L160,long,2,-1.8900000000003274,1.8900000000003274,274.0,0.02,0.03
L163,long,1,-1.9400000000000546,1.9400000000000546,131.0,0.02,0.02
L163,long,2,-1.849999999999909,1.849999999999909,208.0,0.02,0.03
L163,long,3,-1.9400000000000546,1.9400000000000546,225.0,0.03,0.04
L164,long,1,-2.730000000000018,2.730000000000018,544.0,0.02,0.02
L164,long,2,-4.779999999999745,4.779999999999745,243.0,0.02,0.03
L164,long,3,-3.150000000000091,3.150000000000091,2797.0,0.03,0.04
L165,long,1,-1.4400000000000546,1.4400000000000546,455.0,0.02,0.02
L166,long,1,-2.0,2.0,51.0,0.02,0.02
L171,long,1,-2.730000000000018,2.730000000000018,192.0,0.02,0.02
L171,long,2,-4.430000000000291,4.430000000000291,737.0,0.02,0.03
L171,long,3,-3.4699999999998,3.4699999999998,98.0,0.03,0.04
L172,long,1,-2.3600000000001273,2.3600000000001273,51.0,0.02,0.02
L173,long,1,-3.2400000000002365,3.2400000000002365,432.0,0.02,0.02
L173,long,2,-3.4299999999998363,3.4299999999998363,797.0,0.02,0.03
L173,long,3,-1.5399999999999636,1.5399999999999636,300.0,0.03,0.04
L173,long,4,-3.25,3.25,281.0,0.04,0.05
L173,long,5,-2.9400000000000546,2.9400000000000546,1377.0,0.05,0.06
L173,long,6,-1.900000000000091,1.900000000000091,151.0,0.06,0.08
L175,long,1,-1.6700000000000728,1.6700000000000728,915.0,0.02,0.02
L175,long,2,-2.1799999999998363,2.1799999999998363,196.0,0.02,0.03
L175,long,3,-0.7800000000002001,0.7800000000002001,466.0,0.03,0.04
L177,long,1,-2.1399999999998727,2.1399999999998727,20.0,0.02,0.02
L180,long,1,-2.069999999999709,2.069999999999709,866.0,0.02,0.02
L180,long,2,-4.960000000000036,4.960000000000036,689.0,0.02,0.03
