Open Time,Ticket,Type,Size,Item,Price,Order,Comment,Entry,Commission,Fee,Swap,Profit,_sheet,_stmt
2026.07.01 15:02:03,399453605,buy,0.9,XAUUSD-STDc,4030.69,534064736,copy #949109396,out,0,0,0,-424.8,Sheet14,2026.07.01 23:59
2026.07.01 15:02:03,399453652,buy,0.7,XAUUSD-STDc,4030.69,534064913,copy #949109414,out,0,0,0,-556.5,Sheet14,2026.07.01 23:59
2026.07.01 15:02:04,399453915,buy,0.31,XAUUSD-STDc,4030.71,534065098,copy #949109556,out,0,0,0,-242.11,Sheet14,2026.07.01 23:59
2026.07.01 15:02:05,399454078,buy,0.41,XAUUSD-STDc,4030.69,534065275,copy #949109645,out,0,0,0,-317.34,Sheet14,2026.07.01 23:59
2026.07.01 15:02:05,399454348,buy,0.54,XAUUSD-STDc,4030.65,534065443,copy #949109685,out,0,0,0,-427.14,Sheet14,2026.07.01 23:59
2026.07.01 15:02:05,399454540,buy,0.14,XAUUSD-STDc,4030.59,534065632,copy #949109750,out,0,0,0,-108.64,Sheet14,2026.07.01 23:59
2026.07.01 15:02:06,399454634,buy,0.18,XAUUSD-STDc,4030.6,534065814,copy #949109826,out,0,0,0,-124.02,Sheet14,2026.07.01 23:59
2026.07.01 15:02:06,399454714,buy,0.24,XAUUSD-STDc,4030.62,534065987,copy #949109842,out,0,0,0,-173.28,Sheet14,2026.07.01 23:59
2026.07.01 15:02:06,399455080,buy,0.09,XAUUSD-STDc,4030.31,534066160,copy #949109917,out,0,0,0,-67.32,Sheet14,2026.07.01 23:59
2026.07.01 15:02:07,399455136,buy,0.11,XAUUSD-STDc,4030.29,534066337,copy #949109968,out,0,0,0,-82.06,Sheet14,2026.07.01 23:59
2026.06.28 17:10:21,385225475,balance,,,,,Deposit-CC-AP-Payabl-CPS,,,,,100 000.00,Sheet15,2026.06.30 23:59
2026.06.28 17:10:22,385225476,credit,,,,,Credit In-GCN5025,,,,,50 000.00,Sheet15,2026.06.30 23:59
2026.06.29 12:23:35,388575101,buy,0.02,XAUUSD-STDc,4049.82,522406683,copy #940513292,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 12:26:29,388593434,buy,0.02,XAUUSD-STDc,4046.78,522426135,copy #940525016,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 12:30:27,388618898,sell,0.02,XAUUSD-STDc,4049.88,522452378,copy #940541725,out,0,0,0,6.2,Sheet15,2026.06.30 23:59
2026.06.29 12:30:28,388619256,sell,0.02,XAUUSD-STDc,4049.88,522452861,copy #940541937,out,0,0,0,0.12,Sheet15,2026.06.30 23:59
2026.06.29 12:37:55,388682907,buy,0.02,XAUUSD-STDc,4043.23,522517864,copy #940580469,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 12:40:38,388700545,buy,0.02,XAUUSD-STDc,4042.41,522537142,copy #940590655,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 12:48:33,388727253,buy,0.03,XAUUSD-STDc,4039.17,522566376,copy #940613081,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 12:50:26,388747236,buy,0.04,XAUUSD-STDc,4036.61,522588627,copy #940625606,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 12:51:54,388769413,buy,0.05,XAUUSD-STDc,4034.02,522610867,copy #940643937,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 12:57:00,388793455,buy,0.06,XAUUSD-STDc,4032.53,522636878,copy #940665961,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 12:57:39,388806284,buy,0.08,XAUUSD-STDc,4025.86,522654708,copy #940676092,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 12:57:45,388812643,buy,0.11,XAUUSD-STDc,4028.06,522658566,copy #940681269,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 12:59:27,388824887,sell,0.02,XAUUSD-STDc,4030.6,522671974,copy #940698709,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 13:00:56,388832152,sell,0.02,XAUUSD-STDc,4031.96,522679260,copy #940707753,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 13:03:40,388840061,buy,0.02,XAUUSD-STDc,4028.65,522689522,copy #940718253,out,0,0,0,6.62,Sheet15,2026.06.30 23:59
2026.06.29 13:03:41,388841311,buy,0.02,XAUUSD-STDc,4028.76,522689474,copy #940718223,out,0,0,0,3.68,Sheet15,2026.06.30 23:59
2026.06.29 13:10:08,388857412,sell,0.11,XAUUSD-STDc,4033.47,522707084,copy #940734866,out,0,0,0,59.51,Sheet15,2026.06.30 23:59
2026.06.29 13:10:08,388857533,sell,0.08,XAUUSD-STDc,4033.47,522707259,copy #940734880,out,0,0,0,60.88,Sheet15,2026.06.30 23:59
2026.06.29 13:10:09,388857980,sell,0.04,XAUUSD-STDc,4033.53,522707581,copy #940735024,out,0,0,0,-12.32,Sheet15,2026.06.30 23:59
2026.06.29 13:10:09,388858072,sell,0.06,XAUUSD-STDc,4033.53,522707948,copy #940735031,out,0,0,0,6,Sheet15,2026.06.30 23:59
2026.06.29 13:10:09,388858096,sell,0.05,XAUUSD-STDc,4033.53,522707756,copy #940735026,out,0,0,0,-2.45,Sheet15,2026.06.30 23:59
2026.06.29 13:10:09,388858508,sell,0.03,XAUUSD-STDc,4033.97,522708189,copy #940735123,out,0,0,0,-15.6,Sheet15,2026.06.30 23:59
2026.06.29 13:10:10,388858624,sell,0.02,XAUUSD-STDc,4034.25,522708441,copy #940735179,out,0,0,0,-16.32,Sheet15,2026.06.30 23:59
2026.06.29 13:10:10,388858975,sell,0.02,XAUUSD-STDc,4034.13,522709900,copy #940735311,out,0,0,0,-18.2,Sheet15,2026.06.30 23:59
2026.06.29 14:23:35,389069051,buy,0.02,XAUUSD-STDc,4030.66,522921367,copy #940919989,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 14:27:01,389081700,buy,0.02,XAUUSD-STDc,4028.67,522934487,copy #940932429,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 14:30:32,389098870,sell,0.02,XAUUSD-STDc,4032.46,522952046,copy #940946812,out,0,0,0,3.6,Sheet15,2026.06.30 23:59
2026.06.29 14:30:32,389098920,sell,0.02,XAUUSD-STDc,4032.46,522952221,copy #940946822,out,0,0,0,7.58,Sheet15,2026.06.30 23:59
2026.06.29 14:31:18,389108150,sell,0.02,XAUUSD-STDc,4035.19,522964746,copy #940954983,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 14:31:44,389120263,sell,0.02,XAUUSD-STDc,4037.02,522973311,copy #940962635,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 14:33:03,389127865,buy,0.02,XAUUSD-STDc,4033.34,522981133,copy #940968421,out,0,0,0,3.7,Sheet15,2026.06.30 23:59
2026.06.29 14:33:03,389128257,buy,0.02,XAUUSD-STDc,4033.45,522981438,copy #940968490,out,0,0,0,7.14,Sheet15,2026.06.30 23:59
2026.06.29 14:34:25,389129876,buy,0.02,XAUUSD-STDc,4034.2,522982741,copy #940970399,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 14:45:48,389149259,sell,0.02,XAUUSD-STDc,4036.51,523002334,copy #940993039,out,0,0,0,4.62,Sheet15,2026.06.30 23:59
2026.06.29 14:48:33,389153329,sell,0.02,XAUUSD-STDc,4036.94,523006500,copy #940997249,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 14:57:15,389182072,sell,0.02,XAUUSD-STDc,4041.42,523035942,copy #941025581,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 15:03:23,389214915,sell,0.03,XAUUSD-STDc,4043.8,523069779,copy #941053368,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 15:04:02,389227781,sell,0.04,XAUUSD-STDc,4046.15,523083519,copy #941063381,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 15:10:16,389250013,sell,0.05,XAUUSD-STDc,4048.45,523106601,copy #941088157,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 15:11:01,389255433,sell,0.06,XAUUSD-STDc,4049.85,523113204,copy #941093409,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 15:13:15,389265745,sell,0.08,XAUUSD-STDc,4051.16,523123374,copy #941105332,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 15:16:54,389287129,buy,0.08,XAUUSD-STDc,4046.2,523145028,copy #941122534,out,0,0,0,39.68,Sheet15,2026.06.30 23:59
2026.06.29 15:16:55,389287534,buy,0.06,XAUUSD-STDc,4046.06,523145556,copy #941122761,out,0,0,0,22.74,Sheet15,2026.06.30 23:59
2026.06.29 15:16:55,389287819,buy,0.05,XAUUSD-STDc,4046.06,523145749,copy #941122800,out,0,0,0,11.95,Sheet15,2026.06.30 23:59
2026.06.29 15:16:55,389287905,buy,0.04,XAUUSD-STDc,4046.06,523145909,copy #941122871,out,0,0,0,0.36,Sheet15,2026.06.30 23:59
2026.06.29 15:16:56,389288253,buy,0.03,XAUUSD-STDc,4046.06,523146169,copy #941122946,out,0,0,0,-6.78,Sheet15,2026.06.30 23:59
2026.06.29 15:16:56,389288595,buy,0.02,XAUUSD-STDc,4046.04,523146495,copy #941123141,out,0,0,0,-9.24,Sheet15,2026.06.30 23:59
2026.06.29 15:16:56,389288862,buy,0.02,XAUUSD-STDc,4046.03,523146813,copy #941123191,out,0,0,0,-18.18,Sheet15,2026.06.30 23:59
2026.06.29 15:22:43,389326959,buy,0.02,XAUUSD-STDc,4042.99,523184771,copy #941149539,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 15:24:04,389341875,buy,0.02,XAUUSD-STDc,4040.05,523199928,copy #941159397,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 15:26:51,389356239,buy,0.03,XAUUSD-STDc,4039.2,523214575,copy #941171332,in,0,0,0,0,Sheet15,2026.06.30 23:59
