Open Time,Ticket,Type,Size,Item,Price,S / L,T / P,Time,State,Comment,_sheet,_stmt
2026.06.29 21:13:20,524645824,sell,0.03 / 0.03,XAUUSD-STDc,market,0,0,2026.06.29 21:13:20,filled,copy #942356012,Sheet15,2026.06.30 23:59
2026.06.29 21:13:20,524645998,sell,0.04 / 0.04,XAUUSD-STDc,market,0,0,2026.06.29 21:13:20,filled,copy #942356014,Sheet15,2026.06.30 23:59
2026.06.30 09:30:46,528655602,sell,0.14 / 0.14,XAUUSD-STDc,market,0,0,2026.06.30 09:30:46,filled,copy #944419909,Sheet15,2026.06.30 23:59
2026.06.30 09:30:46,528655651,sell,0.09 / 0.09,XAUUSD-STDc,market,0,0,2026.06.30 09:30:46,filled,copy #944419929,Sheet15,2026.06.30 23:59
2026.06.30 09:30:46,528655326,sell,0.11 / 0.11,XAUUSD-STDc,market,0,0,2026.06.30 09:30:46,filled,copy #944419908,Sheet15,2026.06.30 23:59
2026.06.30 09:30:46,528657813,sell,0.06 / 0.06,XAUUSD-STDc,market,0,0,2026.06.30 09:30:47,filled,copy #944420325,Sheet15,2026.06.30 23:59
2026.06.30 09:31:11,528679419,sell,0.05 / 0.05,XAUUSD-STDc,market,0,0,2026.06.30 09:31:11,filled,copy #944427961,Sheet15,2026.06.30 23:59
2026.06.30 09:31:19,528686974,sell,0.04 / 0.04,XAUUSD-STDc,market,0,0,2026.06.30 09:31:19,filled,copy #944431912,Sheet15,2026.06.30 23:59
2026.06.30 09:31:25,528689797,sell,0.03 / 0.03,XAUUSD-STDc,market,0,0,2026.06.30 09:31:26,filled,copy #944434285,Sheet15,2026.06.30 23:59
2026.06.30 09:31:25,528690111,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 09:31:26,filled,copy #944434394,Sheet15,2026.06.30 23:59
2026.06.30 09:31:26,528690528,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 09:31:26,filled,copy #944434473,Sheet15,2026.06.30 23:59
2026.06.30 09:31:26,528690899,sell,0.03 / 0.03,XAUUSD-STDc,market,0,0,2026.06.30 09:31:27,filled,copy #944434587,Sheet15,2026.06.30 23:59
2026.06.30 09:31:27,528691239,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 09:31:28,filled,copy #944434757,Sheet15,2026.06.30 23:59
2026.06.30 09:31:40,528695954,sell,0.18 / 0.18,XAUUSD-STDc,market,0,0,2026.06.30 09:31:41,filled,copy #944436094,Sheet15,2026.06.30 23:59
2026.06.30 09:31:51,528698887,sell,0.24 / 0.24,XAUUSD-STDc,market,0,0,2026.06.30 09:31:51,filled,copy #944437093,Sheet15,2026.06.30 23:59
2026.06.30 09:33:24,528749495,sell,0.31 / 0.31,XAUUSD-STDc,market,0,0,2026.06.30 09:33:24,filled,copy #944466758,Sheet15,2026.06.30 23:59
2026.06.30 09:35:09,528808711,sell,0.41 / 0.41,XAUUSD-STDc,market,0,0,2026.06.30 09:35:09,filled,copy #944488304,Sheet15,2026.06.30 23:59
2026.06.30 09:35:59,528835703,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 09:36:00,filled,copy #944499178,Sheet15,2026.06.30 23:59
2026.06.30 09:36:00,528836095,sell,0.54 / 0.54,XAUUSD-STDc,market,0,0,2026.06.30 09:36:00,filled,copy #944499293,Sheet15,2026.06.30 23:59
2026.06.30 09:37:46,528854214,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 09:37:46,filled,copy #944512808,Sheet15,2026.06.30 23:59
2026.06.30 09:39:34,528863697,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 09:39:35,filled,copy #944520644,Sheet15,2026.06.30 23:59
2026.06.30 09:40:09,528864352,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 09:40:10,filled,copy #944522634,Sheet15,2026.06.30 23:59
2026.06.30 09:40:10,528864532,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 09:40:10,filled,copy #944522666,Sheet15,2026.06.30 23:59
