pair,year,gap_start,gap_end,gap_minutes,missing_minutes
GBPUSD,2023,2023-02-27T04:59:00Z,2023-02-27T06:00:00Z,61,60
GBPUSD,2023,2023-02-27T06:59:00Z,2023-02-27T08:00:00Z,61,60
GBPUSD,2023,2023-02-27T08:59:00Z,2023-02-27T10:00:00Z,61,60
GBPUSD,2023,2023-02-27T11:59:00Z,2023-02-27T14:00:00Z,121,120
GBPUSD,2023,2023-02-27T15:59:00Z,2023-02-27T18:00:00Z,121,120
GBPUSD,2023,2023-02-28T04:59:00Z,2023-02-28T06:00:00Z,61,60
GBPUSD,2023,2023-02-28T06:59:00Z,2023-02-28T08:00:00Z,61,60
GBPUSD,2023,2023-02-28T08:59:00Z,2023-02-28T10:00:00Z,61,60
GBPUSD,2023,2023-02-28T10:59:00Z,2023-02-28T12:00:00Z,61,60
GBPUSD,2023,2023-02-28T13:59:00Z,2023-02-28T15:00:00Z,61,60
GBPUSD,2023,2023-02-28T15:59:00Z,2023-02-28T18:00:00Z,121,120
GBPUSD,2023,2023-03-01T04:59:00Z,2023-03-01T06:00:00Z,61,60
GBPUSD,2023,2023-03-01T06:59:00Z,2023-03-01T08:00:00Z,61,60
GBPUSD,2023,2023-03-01T08:59:00Z,2023-03-01T10:00:00Z,61,60
GBPUSD,2023,2023-03-01T11:59:00Z,2023-03-01T14:00:00Z,121,120
GBPUSD,2023,2023-03-01T14:59:00Z,2023-03-01T16:00:00Z,61,60
GBPUSD,2023,2023-03-01T16:59:00Z,2023-03-01T18:00:00Z,61,60
GBPUSD,2023,2023-03-02T05:59:00Z,2023-03-02T07:00:00Z,61,60
GBPUSD,2023,2023-03-02T07:59:00Z,2023-03-02T09:00:00Z,61,60
GBPUSD,2023,2023-03-02T09:59:00Z,2023-03-02T11:00:00Z,61,60
GBPUSD,2023,2023-03-02T11:59:00Z,2023-03-02T13:00:00Z,61,60
GBPUSD,2023,2023-03-02T13:59:00Z,2023-03-02T15:00:00Z,61,60
GBPUSD,2023,2023-03-02T15:59:00Z,2023-03-02T17:00:00Z,61,60
GBPUSD,2023,2023-03-02T17:59:00Z,2023-03-02T19:00:00Z,61,60
GBPUSD,2023,2023-03-03T05:59:00Z,2023-03-03T07:00:00Z,61,60
GBPUSD,2023,2023-03-03T07:59:00Z,2023-03-03T09:00:00Z,61,60
GBPUSD,2023,2023-03-03T09:59:00Z,2023-03-03T11:00:00Z,61,60
GBPUSD,2023,2023-03-03T11:59:00Z,2023-03-03T13:00:00Z,61,60
GBPUSD,2023,2023-03-03T13:59:00Z,2023-03-03T15:00:00Z,61,60
GBPUSD,2023,2023-03-03T15:59:00Z,2023-03-06T00:00:00Z,481,480
GBPUSD,2023,2023-03-06T04:59:00Z,2023-03-06T06:00:00Z,61,60
GBPUSD,2023,2023-03-06T06:59:00Z,2023-03-06T08:00:00Z,61,60
GBPUSD,2023,2023-03-06T08:59:00Z,2023-03-06T10:00:00Z,61,60
GBPUSD,2023,2023-03-06T10:59:00Z,2023-03-06T12:00:00Z,61,60
GBPUSD,2023,2023-03-06T12:59:00Z,2023-03-06T14:00:00Z,61,60
GBPUSD,2023,2023-03-06T14:59:00Z,2023-03-06T16:00:00Z,61,60
GBPUSD,2023,2023-03-06T16:59:00Z,2023-03-06T18:00:00Z,61,60
GBPUSD,2023,2023-03-07T05:59:00Z,2023-03-07T07:00:00Z,61,60
GBPUSD,2023,2023-03-07T07:59:00Z,2023-03-07T09:00:00Z,61,60
GBPUSD,2023,2023-03-07T09:59:00Z,2023-03-07T11:00:00Z,61,60
GBPUSD,2023,2023-03-07T11:59:00Z,2023-03-07T13:00:00Z,61,60
GBPUSD,2023,2023-03-07T13:59:00Z,2023-03-07T15:00:00Z,61,60
GBPUSD,2023,2023-03-07T15:59:00Z,2023-03-07T17:04:00Z,65,64
GBPUSD,2023,2023-03-07T17:59:00Z,2023-03-07T19:00:00Z,61,60
GBPUSD,2023,2023-03-08T04:59:00Z,2023-03-08T06:00:00Z,61,60
GBPUSD,2023,2023-03-08T07:59:00Z,2023-03-08T10:00:00Z,121,120
GBPUSD,2023,2023-03-08T10:59:00Z,2023-03-08T12:00:00Z,61,60
GBPUSD,2023,2023-03-08T12:59:00Z,2023-03-08T14:00:00Z,61,60
GBPUSD,2023,2023-03-08T14:59:00Z,2023-03-08T16:00:00Z,61,60
GBPUSD,2023,2023-03-08T16:59:00Z,2023-03-08T18:00:00Z,61,60
GBPUSD,2023,2023-03-09T05:59:00Z,2023-03-09T07:00:00Z,61,60
GBPUSD,2023,2023-03-09T07:59:00Z,2023-03-09T09:00:00Z,61,60
GBPUSD,2023,2023-03-09T09:54:00Z,2023-03-09T11:00:00Z,66,65
GBPUSD,2023,2023-03-09T11:59:00Z,2023-03-09T13:00:00Z,61,60
GBPUSD,2023,2023-03-09T13:59:00Z,2023-03-09T15:00:00Z,61,60
GBPUSD,2023,2023-03-09T15:59:00Z,2023-03-09T17:00:00Z,61,60
GBPUSD,2023,2023-03-09T17:59:00Z,2023-03-09T19:00:00Z,61,60
GBPUSD,2023,2023-03-10T05:59:00Z,2023-03-10T08:00:00Z,121,120
GBPUSD,2023,2023-03-10T09:59:00Z,2023-03-10T12:00:00Z,121,120
GBPUSD,2023,2023-03-10T12:59:00Z,2023-03-10T14:00:00Z,61,60
GBPUSD,2023,2023-03-10T15:59:00Z,2023-03-13T00:00:00Z,481,480
GBPUSD,2023,2023-03-13T05:59:00Z,2023-03-13T08:00:00Z,121,120
GBPUSD,2023,2023-03-13T08:59:00Z,2023-03-13T10:00:00Z,61,60
GBPUSD,2023,2023-03-13T10:59:00Z,2023-03-13T12:00:00Z,61,60
GBPUSD,2023,2023-03-13T12:59:00Z,2023-03-13T14:00:00Z,61,60
GBPUSD,2023,2023-03-13T14:59:00Z,2023-03-13T16:00:00Z,61,60
GBPUSD,2023,2023-03-13T16:59:00Z,2023-03-13T18:00:00Z,61,60
GBPUSD,2023,2023-03-14T04:59:00Z,2023-03-14T06:00:00Z,61,60
GBPUSD,2023,2023-03-14T06:59:00Z,2023-03-14T08:00:00Z,61,60
GBPUSD,2023,2023-03-14T08:59:00Z,2023-03-14T10:00:00Z,61,60
GBPUSD,2023,2023-03-14T10:59:00Z,2023-03-14T12:00:00Z,61,60
GBPUSD,2023,2023-03-14T12:59:00Z,2023-03-14T14:00:00Z,61,60
GBPUSD,2023,2023-03-14T14:59:00Z,2023-03-14T16:00:00Z,61,60
GBPUSD,2023,2023-03-14T16:59:00Z,2023-03-14T18:00:00Z,61,60
GBPUSD,2023,2023-03-15T05:59:00Z,2023-03-15T07:00:00Z,61,60
GBPUSD,2023,2023-03-15T07:59:00Z,2023-03-15T09:00:00Z,61,60
GBPUSD,2023,2023-03-15T09:59:00Z,2023-03-15T11:00:00Z,61,60
GBPUSD,2023,2023-03-15T11:59:00Z,2023-03-15T13:00:00Z,61,60
GBPUSD,2023,2023-03-15T13:59:00Z,2023-03-15T15:00:00Z,61,60
GBPUSD,2023,2023-03-15T15:59:00Z,2023-03-15T17:00:00Z,61,60
GBPUSD,2023,2023-03-15T17:59:00Z,2023-03-15T19:00:00Z,61,60
GBPUSD,2023,2023-03-16T05:59:00Z,2023-03-16T08:00:00Z,121,120
GBPUSD,2023,2023-03-16T08:59:00Z,2023-03-16T10:00:00Z,61,60
GBPUSD,2023,2023-03-16T10:59:00Z,2023-03-16T12:00:00Z,61,60
GBPUSD,2023,2023-03-16T13:59:00Z,2023-03-16T16:00:00Z,121,120
GBPUSD,2023,2023-03-16T16:59:00Z,2023-03-16T18:00:00Z,61,60
GBPUSD,2023,2023-03-17T04:59:00Z,2023-03-17T06:00:00Z,61,60
GBPUSD,2023,2023-03-17T06:59:00Z,2023-03-17T08:00:00Z,61,60
GBPUSD,2023,2023-03-17T08:59:00Z,2023-03-17T10:00:00Z,61,60
GBPUSD,2023,2023-03-17T10:59:00Z,2023-03-17T12:00:00Z,61,60
GBPUSD,2023,2023-03-17T12:59:00Z,2023-03-17T14:00:00Z,61,60
GBPUSD,2023,2023-03-17T14:59:00Z,2023-03-20T00:00:00Z,541,540
GBPUSD,2023,2023-03-20T04:59:00Z,2023-03-20T06:00:00Z,61,60
GBPUSD,2023,2023-03-20T07:59:00Z,2023-03-20T10:00:00Z,121,120
GBPUSD,2023,2023-03-20T10:59:00Z,2023-03-20T12:00:00Z,61,60
GBPUSD,2023,2023-03-20T12:59:00Z,2023-03-20T14:00:00Z,61,60
GBPUSD,2023,2023-03-20T14:59:00Z,2023-03-20T16:00:00Z,61,60
GBPUSD,2023,2023-03-20T16:59:00Z,2023-03-20T18:00:00Z,61,60
GBPUSD,2023,2023-03-21T04:59:00Z,2023-03-21T06:00:00Z,61,60
GBPUSD,2023,2023-03-21T06:59:00Z,2023-03-21T08:00:00Z,61,60
GBPUSD,2023,2023-03-21T09:59:00Z,2023-03-21T11:00:00Z,61,60
GBPUSD,2023,2023-03-21T11:59:00Z,2023-03-21T14:00:00Z,121,120
GBPUSD,2023,2023-03-21T15:59:00Z,2023-03-21T18:00:00Z,121,120
